EnsemblID,ImmuneTissues_appendix_lymphoid_tissue,ImmuneTissues_bone_marrow_hematopoietic_cells,ImmuneTissues_lung_macrophages,ImmuneTissues_lymph_node_germinal_center_cells,ImmuneTissues_lymph_node_non-germinal_center_cells,ImmuneTissues_skin_1_Langerhans,ImmuneTissues_spleen_cells_in_white_pulp,ImmuneTissues_tonsil_germinal_center_cells,ImmuneTissues_tonsil_non-germinal_center_cells,ImmuneTissues_thymus_medullary_cells,ImmuneTissues_thymus_cortical_cells,ImmuneTissues_spleen_cells_in_red_pulp,ImmuneTissues_tonsil_squamous_epithelial_cells,NonImmuneTissues_adrenal_gland_cells_in_zona_fasciculata,NonImmuneTissues_adrenal_gland_cells_in_zona_glomerulosa,NonImmuneTissues_adrenal_gland_cells_in_zona_reticularis,NonImmuneTissues_adrenal_gland_glandular_cells,NonImmuneTissues_adrenal_gland_medullary_cells,NonImmuneTissues_appendix_glandular_cells,NonImmuneTissues_breast_adipocytes,NonImmuneTissues_breast_glandular_cells,NonImmuneTissues_breast_myoepithelial_cells,NonImmuneTissues_bronchus_respiratory_epithelial_cells,NonImmuneTissues_caudate_glial_cells,NonImmuneTissues_caudate_neuronal_cells,NonImmuneTissues_caudate_neuronal_projections,NonImmuneTissues_caudate_synapses,NonImmuneTissues_cerebellum_cells_in_granular_layer,NonImmuneTissues_cerebellum_cells_in_molecular_layer,NonImmuneTissues_cerebellum_Purkinje_cells,NonImmuneTissues_cerebral_cortex_endothelial_cells,NonImmuneTissues_cerebral_cortex_glial_cells,NonImmuneTissues_cerebral_cortex_neuronal_cells,NonImmuneTissues_cerebral_cortex_neuronal_projections,NonImmuneTissues_cerebral_cortex_neuropil,NonImmuneTissues_cerebral_cortex_synapses,"NonImmuneTissues_cervix,_uterine_glandular_cells","NonImmuneTissues_cervix,_uterine_squamous_epithelial_cells",NonImmuneTissues_choroid_plexus_ependymal_cells,NonImmuneTissues_colon_endothelial_cells,NonImmuneTissues_colon_glandular_cells,NonImmuneTissues_colon_peripheral_nerve/ganglion,NonImmuneTissues_duodenum_glandular_cells,NonImmuneTissues_endometrium_1_cells_in_endometrial_stroma,NonImmuneTissues_endometrium_1_glandular_cells,NonImmuneTissues_endometrium_2_cells_in_endometrial_stroma,NonImmuneTissues_endometrium_2_glandular_cells,NonImmuneTissues_epididymis_glandular_cells,NonImmuneTissues_esophagus_squamous_epithelial_cells,NonImmuneTissues_eye_corneal_epithelial_cells,NonImmuneTissues_eye_lens_epithelial_cells,NonImmuneTissues_eye_lens_fiber_cells,NonImmuneTissues_eye_vitreous_humor,NonImmuneTissues_fallopian_tube_glandular_cells,NonImmuneTissues_gallbladder_glandular_cells,NonImmuneTissues_hair_cells_in_cortex/medulla,NonImmuneTissues_hair_cells_in_cuticle,NonImmuneTissues_hair_cells_in_external_root_sheath,NonImmuneTissues_hair_cells_in_internal_root_sheath,NonImmuneTissues_heart_muscle_myocytes,NonImmuneTissues_hippocampus_glial_cells,NonImmuneTissues_hippocampus_neuronal_cells,NonImmuneTissues_hippocampus_neuronal_projections,NonImmuneTissues_hippocampus_synapses,NonImmuneTissues_hypothalamus_glial_cells,NonImmuneTissues_hypothalamus_neuronal_cells,NonImmuneTissues_hypothalamus_neuronal_projections,NonImmuneTissues_hypothalamus_synapses,NonImmuneTissues_kidney_cells_in_glomeruli,NonImmuneTissues_kidney_cells_in_tubules,NonImmuneTissues_lactating_breast_ductal_cells,NonImmuneTissues_lactating_breast_lactating_glandular_cells,NonImmuneTissues_liver_bile_duct_cells,NonImmuneTissues_liver_hepatocytes,NonImmuneTissues_lung_pneumocytes,NonImmuneTissues_nasopharynx_respiratory_epithelial_cells,NonImmuneTissues_oral_mucosa_squamous_epithelial_cells,NonImmuneTissues_ovary_follicle_cells,NonImmuneTissues_ovary_ovarian_stroma_cells,NonImmuneTissues_pancreas_exocrine_glandular_cells,NonImmuneTissues_pancreas_islets_of_Langerhans,NonImmuneTissues_parathyroid_gland_glandular_cells,NonImmuneTissues_pituitary_gland_cells_in_anterior,NonImmuneTissues_pituitary_gland_cells_in_posterior,NonImmuneTissues_placenta_decidual_cells,NonImmuneTissues_placenta_trophoblastic_cells,NonImmuneTissues_prostate_glandular_cells,NonImmuneTissues_rectum_glandular_cells,NonImmuneTissues_retina_cells_in_inner_nuclear_layer,NonImmuneTissues_retina_cells_in_photoreceptor_layer,NonImmuneTissues_retina_ganglion_cells,NonImmuneTissues_retina_limiting_membrane,NonImmuneTissues_retina_nerve_fibers_in_inner_plexiform_layer,NonImmuneTissues_retina_nerve_fibers_in_nerve_fiber_layer,NonImmuneTissues_retina_nerve_fibers_in_outer_plexiform_layer,NonImmuneTissues_retina_pigment_epithelium,NonImmuneTissues_salivary_gland_glandular_cells,NonImmuneTissues_seminal_vesicle_glandular_cells,NonImmuneTissues_skeletal_muscle_myocytes,NonImmuneTissues_skin_1_fibroblasts,NonImmuneTissues_skin_1_keratinocytes,NonImmuneTissues_skin_1_melanocytes,NonImmuneTissues_skin_2_epidermal_cells,NonImmuneTissues_skin_sebaceous_cells,NonImmuneTissues_skin_secretory_cells,NonImmuneTissues_skin_sweat_ducts,NonImmuneTissues_small_intestine_glandular_cells,NonImmuneTissues_smooth_muscle_smooth_muscle_cells,NonImmuneTissues_soft_tissue_1_adipocytes,NonImmuneTissues_soft_tissue_1_chondrocytes,NonImmuneTissues_soft_tissue_1_fibroblasts,NonImmuneTissues_soft_tissue_1_peripheral_nerve,NonImmuneTissues_soft_tissue_2_adipocytes,NonImmuneTissues_soft_tissue_2_chondrocytes,NonImmuneTissues_soft_tissue_2_fibroblasts,NonImmuneTissues_soft_tissue_2_peripheral_nerve,NonImmuneTissues_sole_of_foot_epidermal_cells,NonImmuneTissues_stomach_1_glandular_cells,NonImmuneTissues_stomach_2_glandular_cells,NonImmuneTissues_testis_cells_in_seminiferous_ducts,NonImmuneTissues_testis_elongated_or_late_spermatids,NonImmuneTissues_testis_Leydig_cells,NonImmuneTissues_testis_pachytene_spermatocytes,NonImmuneTissues_testis_peritubular_cells,NonImmuneTissues_testis_preleptotene_spermatocytes,NonImmuneTissues_testis_round_or_early_spermatids,NonImmuneTissues_testis_sertoli_cells,NonImmuneTissues_testis_spermatogonia,NonImmuneTissues_thyroid_gland_glandular_cells,NonImmuneTissues_urinary_bladder_urothelial_cells,NonImmuneTissues_vagina_squamous_epithelial_cells,EstimatedRankDifference
ENSG00000164076,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,1,NA,0,0,0,0,0,2,2,NA,NA,0,0,0,0,1,1,NA,2,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,2,2,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
ENSG00000164078,1,1,3,2,2,1,1,2,2,NA,NA,1,2,NA,NA,NA,2,NA,2,0,2,2,2,1,2,NA,NA,2,1,2,1,1,2,NA,0,NA,2,1,NA,2,2,1,2,1,2,1,1,2,2,NA,NA,NA,NA,2,3,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,2,1,2,2,3,1,2,1,2,NA,NA,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,1,2,NA,NA,NA,2,2,2,2,1,2,2,NA,1,1,NA,2,2,1,NA,2,NA,NA,NA,NA,NA,NA,3,2,1,-9.54584521940688e-5
ENSG00000164081,0,1,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,2,NA,2,0,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,0,NA,0,1,NA,0,2,0,2,0,2,0,0,0,2,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,0,0,2,0,0,0,0,0,1,NA,NA,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,0,0,NA,NA,NA,2,0,0,0,0,0,0,NA,0,0,NA,1,2,3,NA,1,NA,NA,NA,NA,NA,NA,1,1,0,-8.68001028105937e-6
ENSG00000164082,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,1,0,1,0,0,1,NA,2,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
ENSG00000164087,1,1,2,2,2,1,1,2,2,NA,NA,0,2,NA,NA,NA,3,NA,3,0,2,2,2,1,2,NA,NA,1,1,1,0,2,2,NA,0,NA,2,0,NA,2,2,0,3,1,2,0,2,2,2,NA,NA,NA,NA,2,3,NA,NA,NA,NA,2,1,0,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,1,0,NA,1,NA,0,2,2,2,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,3,1,2,2,NA,NA,NA,3,1,0,NA,NA,0,0,NA,3,0,NA,2,3,2,NA,3,NA,NA,NA,NA,NA,NA,2,2,1,-4.90552245347615e-5
ENSG00000164089,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,2,1,NA,NA,2,0,2,1,3,1,NA,1,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,2,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
ENSG00000164096,1,3,2,1,1,3,1,0,1,NA,NA,3,2,NA,NA,NA,2,NA,2,0,2,2,3,2,2,NA,NA,3,3,3,1,2,3,NA,1,NA,2,3,NA,1,3,3,3,2,2,0,3,2,2,NA,NA,NA,NA,3,3,NA,NA,NA,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,3,NA,NA,2,2,2,3,2,NA,0,2,2,2,NA,NA,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,3,3,3,NA,NA,NA,3,1,1,NA,2,NA,0,NA,2,NA,NA,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,3,3,3,-0.999938167467952
ENSG00000164104,2,3,0,3,2,2,2,3,2,NA,NA,3,1,NA,NA,NA,1,NA,2,1,1,1,2,0,1,NA,NA,0,1,1,1,1,1,NA,0,NA,0,2,NA,0,2,2,2,0,1,1,1,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,1,1,1,2,2,2,1,0,1,NA,NA,0,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,2,2,2,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,NA,0,2,3,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,1.00004042146155
ENSG00000164105,2,0,0,1,0,1,0,2,0,NA,NA,0,2,NA,NA,NA,2,NA,2,0,0,0,1,1,2,NA,NA,0,1,1,0,0,0,NA,0,NA,1,1,NA,1,2,1,2,0,0,0,0,2,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,2,1,2,1,0,0,1,2,2,NA,NA,2,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,1,NA,NA,NA,2,2,NA,2,1,NA,0,NA,0,0,NA,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,2,2,0,-4.15757492045623e-6
ENSG00000164106,2,2,2,NA,2,2,1,2,2,NA,NA,3,3,NA,NA,NA,1,NA,0,0,1,1,2,1,1,NA,NA,3,2,3,0,0,3,NA,2,NA,1,1,NA,1,2,2,3,1,2,0,1,1,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,1,0,0,2,2,NA,1,0,2,1,NA,NA,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,1,2,2,NA,NA,NA,3,2,0,0,2,2,0,NA,2,2,NA,2,3,2,NA,3,NA,NA,NA,NA,NA,NA,2,1,2,0.999956565474712
ENSG00000164107,2,2,2,0,0,2,2,1,2,NA,NA,2,2,NA,NA,NA,1,NA,2,2,2,2,2,2,2,NA,NA,2,2,1,2,2,2,NA,1,NA,0,2,NA,2,1,2,1,0,1,0,0,2,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,1,2,2,2,2,2,2,2,2,NA,NA,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,2,2,2,2,NA,NA,NA,2,1,NA,NA,2,2,2,NA,2,2,NA,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,2,0,-1.1990521321216e-5
ENSG00000164111,1,1,2,1,2,1,0,1,0,NA,NA,2,2,NA,NA,NA,2,NA,0,0,1,1,1,1,0,NA,NA,1,0,0,1,1,0,NA,0,NA,2,0,NA,1,0,1,0,3,1,2,1,1,0,NA,NA,NA,NA,2,2,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,0,2,NA,NA,1,0,1,1,0,NA,2,0,1,1,NA,NA,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,1,1,1,1,NA,NA,NA,0,2,0,NA,2,NA,2,NA,2,2,NA,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,2,1,0,1.32688029645321e-5
